Address;Price;Beds;Baths;Sizes
1047 W 45th St, Los Angeles, CA 90037;$719,900;3;1.5;1,356sqft
1028 W 66th St, Los Angeles, CA 90044;$549,900;2;1;700sqft
1141 Orme Ave, Los Angeles, CA 90023;$748,800;6;4;3,250sqft
17230 Chatsworth St Unit 7, Granada Hills, CA 91344;$559,000;2;3;1,448sqft
1140 W 89th St, Los Angeles, CA 90044;$599,000;3;2;1,062sqft
17262 Devonshire St, Los Angeles, CA 91325;$1,175,000;4;4;2,288sqft
9517 S Western Ave, Los Angeles, CA 90047;$897,000;8;4;2,560sqft
10449 Ilex Ave, Pacoima, CA 91331;$800,000;6;3;2,006sqft
432 S Boyle Ave, Los Angeles, CA 90033;$1,400,000;4;3;3,228sqft
9416 LA Salle Ave, Los Angeles, CA 90047;$721,000;2;1.5;1,252sqft
210 N Malgren Ave, San Pedro, CA 90732;$999,999;3;2;1,580sqft
17 23rd Ave, Venice, CA 90291;$11,000,000;5;5.5;7,102sqft
5535 Canoga Ave Apt 214, Woodland Hills, CA 91367;$570,000;2;2;920sqft
2731 Arlington Ave, Los Angeles, CA 90018;$928,000;2;1;1,056sqft
9707 Foothill Blvd, Sylmar, CA 91342;$1,095,000;3;3;2,300sqft
7418 S Hobart Blvd, Los Angeles, CA 90047;$949,900;5;3;2,048sqft
23029 Welby Way, West Hills, CA 91307;$985,000;4;2;1,669sqft
1345 Chautauqua Blvd, Pacific Palisades, CA 90272;$10,995,000;5;4.5;5,136sqft
4473 Mettler St, Los Angeles, CA 90011;$1,398,000;13;6;5,208sqft
9894 Beverly Grove Dr, Beverly Hills, CA 90210;$10,995,000;4;3.5;4,864sqft
4760 Degovia Ave, Woodland Hills, CA 91364;$1,699,888;4;3;2,551sqft
1653 Blue Jay Way, Los Angeles, CA 90069;$12,000,000;5;5.5;6,400sqft
542 Glenrock Ave, Los Angeles, CA 90024;$9,200,000;20;20;12,423sqft
4570 Comber Ave, Encino, CA 91316;$4,600,000;6;6.5;4,399sqft
8865 Lookout Mountain Ave, Los Angeles, CA 90046;$1,200,000;3;2;1,192sqft
15526 Hamner Dr, Los Angeles, CA 90077;$6,888,000;6;6.5;6,310sqft
18771 Clearbrook St, Porter Ranch, CA 91326;$1,249,950;4;2;2,105sqft
7026 Macapa Dr, Los Angeles, CA 90068;$2,995,000;4;2.5;2,136sqft
2819 Palmer Dr, Los Angeles, CA 90065;$1,299,000;3;2;1,380sqft
12044 Hoffman St Unit 105, Studio City, CA 91604;$999,500;3;2.5;1,583sqft
8654 Falmouth Ave, Playa Del Rey, CA 90293;$8,150,000;27;28;16,275sqft
819 S Bedford St, Los Angeles, CA 90035;$2,695,000;5;3;3,339sqft
12927 Panama St, Los Angeles, CA 90066;$1,900,000;3;2;1,185sqft
10660 Wilshire Blvd Apt 309, Los Angeles, CA 90024;$1,550,000;3;3.5;2,426sqft
1501 Palos Verdes Dr N Spc 36, Harbor City, CA 90710;$165,000;2;2;1,040sqft
15232 Foothill Blvd Unit 150, Sylmar, CA 91342;$585,000;3;2.5;1,442sqft
1006 Chantilly Rd, Los Angeles, CA 90077;$20,000,000;6;8;10,000sqft
11233 Hooper Ave, Los Angeles, CA 90059;$498,000;2;1;794sqft
11130 Provence Ln, Tujunga, CA 91042;$1,149,800;4;3;3,296sqft
7403 S Harvard Blvd, Los Angeles, CA 90047;$590,000;3;2;1,499sqft
1034 E Mauretania St, Wilmington, CA 90744;$615,000;3;2;1,364sqft
20134 Leadwell St Unit 301, Winnetka, CA 91306;$465,000;3;2;1,113sqft
20035 Hemmingway St, Winnetka, CA 91306;$895,995;3;2;1,746sqft
1027 W 110th St, Los Angeles, CA 90044;$750,000;5;5;2,523sqft
8501 Browns Creek Ln, Canoga Park, CA 91304;$1,290,000;5;3;2,853sqft
2009 Dell Ave, Venice, CA 90291;$995,000;1;1;484sqft
12748 Norris Ave, Sylmar, CA 91342;$785,000;4;2;1,623sqft
13457 Eldridge Ave, Sylmar, CA 91342;$720,000;5;2.5;1,803sqft
10509 McClemont Ave, Tujunga, CA 91042;$799,000;3;2;1,296sqft
2627 San Marino St, Los Angeles, CA 90006;$1,395,000;8;4;4,680sqft
9450 S Harvard Blvd, Los Angeles, CA 90047;$899,000;3;2;1,500sqft
1132 Chantilly Rd, Los Angeles, CA 90077;$3,195,000;3;3;2,531sqft
9742 Farralone Ave, Chatsworth, CA 91311;$1,349,000;3;3;3,418sqft
17118 Septo St, Northridge, CA 91325;$1,280,000;5;4;3,020sqft
7100 Alvern St Apt 225, Westchester, CA 90045;$755,000;2;2;1,140sqft
354 Parkman Ave, Los Angeles, CA 90026;$1,999,000;6;5;2,527sqft
20457 Via Medici, Porter Ranch, CA 91326;$1,599,000;4;3;2,908sqft
16735 Nicklaus Dr Unit 23, Sylmar, CA 91342;$670,000;3;2.5;1,950sqft
12218 Sarazen Pl, Granada Hills, CA 91344;$2,000,000;6;5.5;3,784sqft
4707 Willis Ave Apt 202, Sherman Oaks, CA 91403;$499,000;1;1.5;1,236sqft
47 Westminster Ave, Venice, CA 90291;$1,950,000;6;4;2,320sqft
5035 Amestoy Ave, Encino, CA 91316;$3,799,000;5;6;6,558sqft
16401 Chatsworth St, Granada Hills, CA 91344;$1,500,000;3;3;1,967sqft
17862 Via Vallarta, Encino, CA 91316;$5,999,999;6;6;6,811sqft
11671 Goleta St, Sylmar, CA 91342;$865,000;3;2;1,400sqft
10356 Montgomery Ave, Granada Hills, CA 91344;$850,000;3;2;1,219sqft
1360 W 24th St, Los Angeles, CA 90007;$2,395,000;11;11;4,100sqft
11811 Norfield Ct, Los Angeles, CA 90077;$6,050,000;6;5.5;6,500sqft
3219 Laurel Canyon Blvd, Studio City, CA 91604;$2,295,000;4;3;2,781sqft
10660 Wilshire Blvd Apt 607, Los Angeles, CA 90024;$799,000;1;1.5;1,139sqft
4908 Collett Ave, Encino, CA 91436;$2,395,000;3;4;3,400sqft
10590 Wilshire Blvd Apt 1004, Los Angeles, CA 90024;$1,250,000;2;2.5;2,162sqft
15126 36/46 Rayneta, Sherman Oaks, CA 91403;$2,799,000;4;3;2,600sqft
13077 W N Icon Cir, Playa Vista, CA 90094;$2,995,000;4;3.5;3,766sqft
132 N Swall Dr Unit 301, Los Angeles, CA 90048;$2,000,000;2;2;1,470sqft
13406 S Vermont Ave, Gardena, CA 90247;$2,795,000;24;16;8,960sqft
530 S Mapleton Dr, Los Angeles, CA 90024;$63,500,000;11;21.5;33,652sqft
1101 W Vernon Ave, Los Angeles, CA 90037;$899,980;6;3.5;4,119sqft
2132 El Roble Ln, Beverly Hills, CA 90210;$1,795,000;4;3;2,330sqft
11455 Tampa Ave Unit 168, Porter Ranch, CA 91326;$599,995;3;2;1,430sqft
3305 Hillock Dr, Los Angeles, CA 90068;$1,249,000;1;1;1,023sqft
4010 Princeton St, East Los Angeles, CA 90023;$799,900;4;3;1,640sqft
20343 Mobile St, Winnetka, CA 91306;$815,000;4;2;1,712sqft
100 S Alameda St Unit 154, Los Angeles, CA 90012;$495,000;1;1;735sqft
100 S Alameda St Unit 459, Los Angeles, CA 90012;$740,000;2;2;1,186sqft
2753 Waverly Dr Apt 405, Silver Lakes, CA 90039;$985,000;2;3;1,243sqft
5400 Newcastle Ave Apt 15, Encino, CA 91316;$359,000;1;1;729sqft
20625 Desert Ash Ln, Winnetka, CA 91306;$799,000;4;3.5;1,946sqft
1417 N Doheny Dr, Los Angeles, CA 90069;$8,995,000;4;5.5;4,869sqft
20336 Lorne St, Winnetka, CA 91306;$1,199,000;3;3;3,067sqft
651 Crestmoore Pl, Venice, CA 90291;$1,995,000;3;3;2,872sqft
6635 Agnes Ave, North Hollywood, CA 91606;$949,500;2;2;1,337sqft
7720 Kyle St, Tujunga, CA 91042;$840,000;3;1;1,376sqft
10902 Fruitland Dr, Studio City, CA 91604;$1,975,000;4;4.5;2,493sqft
2512 Wellington Rd, Los Angeles, CA 90016;$1,399,900;4;3;2,092sqft
3931 W 58th Pl, Los Angeles, CA 90043;$1,193,500;3;2;1,884sqft
4815 Adele Ct, Woodland Hills, CA 91364;$1,898,000;5;4;2,854sqft
5714 Brushton St, Los Angeles, CA 90008;$2,899,000;5;4;3,627sqft
20802 W Oklahoma Ct, Chatsworth, CA 91311;$939,000;4;3.5;2,133sqft
21918 Velicata St, Woodland Hills, CA 91364;$989,999;3;2;1,215sqft
10361 Jimenez Pl, Lake View Terrace, CA 91342;$1,089,000;3;2.5;1,891sqft
2302 S Budlong Ave, Los Angeles, CA 90007;$1,445,000;4;2;2,416sqft
179 Barlock Ave, Los Angeles, CA 90049;$2,999,995;4;2;2,050sqft
4737 W Elmwood Ave, Los Angeles, CA 90004;$998,000;3;2.5;1,605sqft
4737-1/2 W Elmwood Ave, Los Angeles, CA 90004;$998,000;3;2.5;1,605sqft
9103 Wystone Ave, Northridge, CA 91324;$1,269,000;4;3;2,700sqft
18730 Paseo Nuevo Dr, Tarzana, CA 91356;$2,198,000;4;4;3,680sqft
22497 Venido Rd, Woodland Hills, CA 91364;$1,600,000;4;2.5;2,691sqft
9153 Geyser Ave, Northridge, CA 91324;$895,000;3;2;1,492sqft
17424 Saticoy St, Van Nuys, CA 91406;$832,000;2;1;819sqft
1061 W 20th St, San Pedro, CA 90731;$889,000;3;3;1,760sqft
2200 Toberman St, Los Angeles, CA 90007;$2,700,000;6;12;7,026sqft
11222 Greenlawn Ave, Culver City, CA 90230;$1,649,000;3;2;1,644sqft
2027 Walgrove Ave, Los Angeles, CA 90066;$2,348,000;3;3;1,587sqft
12032 Washigton Pl, Los Angeles, CA 90066;$3,200,000;8;6;4,728sqft
827 S Carondelet St, Los Angeles, CA 90057;$3,000,000;13;14;9,352sqft
