Address;Price;Beds;Baths;Sizes
16121 Alcima Ave, Pacific Palisades, CA 90272;$2,650,000;3;4;2,220sqft
2325 Prince St, Los Angeles, CA 90031;$1,499,000;26;17;3,633sqft
1205 Las Lomas Pl, Pacific Palisades, CA 90272;$3,175,000;2;2;1,990sqft
2025 Avenue of the Stars Unit 1608, Los Angeles, CA 90067;$4,200,000;2;2.5;1,550sqft
8114 S San Pedro St, Los Angeles, CA 90003;$600,000;3;1;1,800sqft
17341 Cantara St, Northridge, CA 91325;$699,000;3;2;1,537sqft
1728 S Holt Ave, Los Angeles, CA 90035;$1,099,000;2;2;1,374sqft
7324 Crockett Blvd, Los Angeles, CA 90001;$490,000;2;1;864sqft
11216 Unit St, Los Angeles, CA 90059;$545,000;2;1;838sqft
2251 Guthrie Dr, Los Angeles, CA 90034;$7,250,000;6;7;6,872sqft
1300 E 71st St, Los Angeles, CA 90001;$995,000;9;3;3,908sqft
5858 6th Ave, Los Angeles, CA 90043;$899,999;3;2;1,622sqft
1100 S Grand Ave Unit A208, Los Angeles, CA 90015;$799,000;2;2;1,170sqft
9400 Kalmia St, Los Angeles, CA 90002;$540,000;4;2;1,370sqft
1144 Orme Ave, Los Angeles, CA 90023;$824,995;4;2;1,523sqft
6023 6th Ave, Los Angeles, CA 90043;$850,000;4;2;1,864sqft
727 W 54th St, Los Angeles, CA 90037;$780,000;5;3;2,394sqft
3943 Degnan Blvd, Los Angeles, CA 90008;$1,045,000;2;1.5;1,579sqft
18313 Index St, Porter Ranch, CA 91326;$1,199,999;4;3;2,826sqft
12529 Middlecoff Pl, Granada Hills, CA 91344;$1,149,000;4;3;2,301sqft
17900 Tuscan Ct, Granada Hills, CA 91344;$1,650,000;4;3;2,215sqft
2912 5th Ave, Los Angeles, CA 90018;$1,200,000;6;3;2,607sqft
548 W 46th St, Los Angeles, CA 90037;$1,425,000;4;4;3,637sqft
14035 Aubrey Rd, Beverly Hills, CA 90210;$20,995,000;7;10;17,584sqft
2491 Purdue Ave Apt 319, Los Angeles, CA 90064;$899,000;2;3;1,355sqft
17642 Kingsbury St, Granada Hills, CA 91344;$1,098,900;4;2;1,818sqft
2011 Arlington Ave, Los Angeles, CA 90018;$1,599,000;12;12;3,268sqft
6253 Hollywood Blvd Apt 1202, Los Angeles, CA 90028;$1,295,000;2;2;1,130sqft
